user_id,session,action_type,key_code,down,up,time,x,y,user_agent,url
89270693456,1,cursor,NaN,NaN,NaN,1606150899913,772,493,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150899926,766,489,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150899943,745,477,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150899959,711,464,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150899976,679,454,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150899993,659,446,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900009,651,441,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900026,650,439,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900043,650,437,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900059,650,434,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900076,652,432,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900093,656,428,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900109,662,423,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900126,672,418,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900143,681,407,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900159,692,398,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900176,704,390,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900192,714,382,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900210,721,378,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900226,724,376,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900243,726,374,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900259,727,373,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900276,728,371,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900293,729,371,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900365,729,370,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
89270693456,1,cursor,NaN,NaN,NaN,1606150900422,729,369,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36",/login
