user_id,session,action_type,key_code,down,up,time,x,y,user_agent,url
89271245194,0,cursor,NaN,NaN,NaN,1614067535007,421,232,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535058,421,208,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535105,421,197,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,161406753516,2420,194,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535357,418,19,2Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535366,418,191,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535466,415,190,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535582,414,190,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067535634,414,188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,161406753573,2414,187,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,161406753605,241,2187,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536082,410,187,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536126,410,187,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536568,410,184,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,161406753663,2407,184,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536731,406,18,2Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536786,406,182,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536832,406,181,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067536885,406,179,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537040,404,179,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,mouse,NaN,1614067537042,1614067537127,0.085,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537498,430,179,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537548,477,175,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537599,550,170,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537667,59,2159,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537698,589,152,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,cursor,NaN,NaN,NaN,1614067537765,588,151,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067538766,1614067538770,0.004,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067538777,161406753879,20.016,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067538835,1614067538838,0.00,2NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067538845,1614067538856,0.011,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540608,1614067540617,0.009,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540626,1614067540645,0.019,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540676,1614067540686,0.01,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540702,1614067540712,0.01,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540864,161406754087,20.009,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540885,1614067540901,0.016,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540936,1614067540944,0.008,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067540965,1614067540971,0.006,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067541131,1614067541140,0.009,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067541151,1614067541169,0.018,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067541205,1614067541210,0.005,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067541241,1614067541244,0.00,2NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543320,1614067543328,0.008,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543339,1614067543356,0.017,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543367,161406754337,20.006,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543392,1614067543400,0.008,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543451,1614067543460,0.009,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543470,1614067543486,0.016,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543532,161406754353,20.001,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543554,1614067543564,0.01,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,1614067543667,1614067543672,0.005,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
89271245194,0,key,NaN,161406754368,21614067543698,0.015,NaN,NaN,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0,/login
